,std_dt,ticker,company_name
2244,19991228,A035400,삼보정보통신
2245,20050419,A035400,비에스지
2246,20080414,A035400,브이에스에스티
2247,19991228,A035410,플러스3호
2248,20021029,A035420,엔에이치엔
2249,20021113,A035420,NHN
2250,20130829,A035420,NAVER
2251,19991228,A035430,드림라인
2252,19991228,A035450,아이앤티
2253,20020121,A035450,세넥스테크
2254,20051223,A035450,넥스트코드
2255,20110415,A035450,지아이바이오
2256,19991228,A035460,기산텔레콤
2257,19991228,A035470,드림4호
2258,19991228,A035480,현대디지탈텍
2259,20121122,A035480,제이비어뮤즈먼트
2260,20150417,A035480,마제스타
2261,20190612,A035480,제이테크놀로지
2262,19991228,A035500,디지탈임팩트
2263,20010406,A035500,엔터원
2264,20080417,A035500,팍스메듀
2265,20090619,A035500,써니트렌드
2266,20001116,A035510,신세계아이앤
2267,20010601,A035510,신세계I&C
2268,20080804,A035510,신세계 I&C
2269,19991228,A035520,삼성그랑프리
2270,19991228,A035530,프라임성장형
2271,19991228,A035540,드림5호
2272,19991228,A035590,마이다스성일
2273,20021122,A035600,이니시스
2274,20120405,A035600,케이지이니시스
2275,20120423,A035600,KG이니시스
2276,19991228,A035610,새롬기술
2277,20040409,A035610,솔본
2278,19991228,A035620,와이티씨텔레
2279,20011004,A035620,온에듀
2280,20020419,A035620,퓨센스
2281,20040402,A035620,나코
2282,20060406,A035620,티엔터
2283,20060412,A035620,티엔터테인먼트
2284,20090424,A035620,바른손게임즈
2285,20140423,A035620,바른손이앤에이
2286,19991228,A035670,챌린지전환1
2287,19991228,A035680,챌린지성장2
2288,19991228,A035700,드림6호
2289,19991228,A035710,씨앤텔
2290,20060627,A035710,씨와이알
2291,20070813,A035710,CL
2292,19991228,A035720,다음
2293,20141118,A035720,다음카카오
2294,20151013,A035720,카카오
2295,19991228,A035760,CJ39쇼핑
2296,20021011,A035760,CJ홈쇼핑
2297,20090420,A035760,CJ오쇼핑
2298,20180718,A035760,CJ ENM
2299,20000113,A035780,재승정보통신
2300,20000421,A035780,재스컴
2301,20020418,A035780,그로웰텔레콤
2302,19991228,A035790,드림7호
2303,19991228,A035810,이지바이오
2304,20200605,A035810,이지홀딩스
2305,19991228,A035820,크린1호
2306,19991228,A035830,웰링크
2307,20050110,A035830,지세븐소프트
2308,20060727,A035830,마틴미디어
2309,20071210,A035830,뱅크원에너지
2310,20080812,A035830,메카포럼
2311,19991228,A035860,드림8호
2312,20000627,A035870,대정크린
2313,20010607,A035870,프리챌홀딩스
2314,20030704,A035870,호성
2315,19991228,A035880,마이다스자일
2316,19991228,A035890,서희이엔씨
2317,20030417,A035890,서희건설
2318,20010830,A035900,아라리온
2319,20060707,A035900,세이텍
2320,20071127,A035900,제이튠엔터
2321,20110314,A035900,제이와이피엔터
2322,20110405,A035900,JYP Ent.
2323,19991228,A035910,현대멀티캡
2324,19991228,A035930,에스이아이채
2325,20010601,A035930,에스이아이채MF
2326,19991228,A035940,에스이아이주
2327,19991228,A035950,케이알
2328,19991228,A035960,바이오시스
2329,19991228,A035970,교보그로쓰
2330,19991228,A035980,교보 본드
2331,19991228,A036000,웨스텍코리아
2332,20090702,A036000,예림당
2333,20020703,A036010,아비코전자
2334,19991228,A036020,한아시스템
2335,19991228,A036030,한통하이텔
2336,20030411,A036030,KTH
2337,19991228,A036040,마이다스전일
2338,19991228,A036060,한강기금
2339,19991228,A036090,금호미터텍
2340,20041229,A036090,위지트
2341,19991228,A036120,서울신용평가
2342,20160125,A036120,SCI평가정보
2343,19991228,A036170,코삼
2344,20021129,A036170,라셈텍
2345,20070713,A036170,씨티엘
2346,20180622,A036170,씨티젠
2347,20200123,A036170,라이브파이낸셜
2348,19991228,A036180,도원텔레콤
2349,20050422,A036180,유젠텍
2350,20070822,A036180,영인프런티어
2351,20200303,A036180,에이프런티어
2352,20001226,A036190,금화피에스시
2353,19991228,A036200,유니셈
2354,19991228,A036210,태산엘시디
